City_ID,City,Country,id,lat,lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),dt
69,Kavieng,PG,2094342,-2.5744,150.7967,81.75,75,19,13.76,08/22/2022
70,Isangel,VU,2136825,-19.55,169.2667,71.62,74,27,10.51,08/22/2022
71,Atuona,PF,4020109,-9.8,-139.0333,75.25,65,73,14.88,08/22/2022
72,Vilyuysk,RU,2013392,63.7553,121.6247,40.77,88,100,5.06,08/22/2022
73,Saint Paul,US,5045360,44.9444,-93.0933,65.77,92,0,3.44,08/22/2022
74,Bushehr,IR,139817,28.9684,50.8385,100.49,53,0,18.41,08/22/2022
75,Kirensk,RU,2022083,57.7853,108.1119,50.65,98,100,5.91,08/22/2022
76,Raudeberg,NO,3146487,61.9875,5.1352,57.87,70,48,15.08,08/22/2022
77,Port Hardy,CA,6111862,50.6996,-127.4199,57.38,100,100,2.3,08/22/2022
78,Longyearbyen,SJ,2729907,78.2186,15.6401,48.04,57,0,13.8,08/22/2022
79,Natchez,US,4437982,31.5604,-91.4032,75.42,94,0,6.91,08/22/2022
80,Ribeira Grande,PT,3372707,38.5167,-28.7,77.4,73,75,6.91,08/22/2022
81,Lábrea,BR,3663684,-7.2586,-64.7981,78.76,45,10,4.94,08/22/2022
82,Chokurdakh,RU,2126123,70.6333,147.9167,57.69,75,100,2.71,08/22/2022
83,Severo-Yeniseyskiy,RU,1492566,60.3725,93.0408,43.39,74,100,3.22,08/22/2022
84,George Town,MY,1735106,5.4112,100.3354,84.13,77,20,0.0,08/22/2022
85,Kuliyapitiya,LK,1238427,7.4688,80.0401,76.69,90,42,7.78,08/22/2022
86,Coração de Jesus,BR,3465542,-16.6853,-44.365,75.02,35,20,9.73,08/22/2022
87,Aseri,EE,592379,59.4506,26.8675,63.9,95,100,5.23,08/22/2022
88,Todos Santos,MX,3981432,23.45,-110.2167,79.3,88,63,5.5,08/22/2022
89,Port Hedland,AU,2063042,-20.3167,118.5667,66.25,59,0,4.61,08/22/2022
90,Mrakovo,RU,524681,52.7161,56.6244,80.38,39,81,8.84,08/22/2022
91,Sabha,LY,2212775,27.0377,14.4283,98.58,20,0,3.8,08/22/2022
92,Tuktoyaktuk,CA,6170031,69.4541,-133.0374,35.17,78,84,8.46,08/22/2022
93,Kati,ML,2455558,12.7441,-8.0726,85.41,56,24,4.0,08/22/2022
94,Beloha,MG,1067565,-25.1667,45.05,72.54,50,32,14.5,08/22/2022
95,Upernavik,GL,3418910,72.7868,-56.1549,41.38,53,100,9.95,08/22/2022
96,Thompson,CA,6165406,55.7435,-97.8558,39.36,100,75,3.44,08/22/2022
97,Aras,ES,3129839,42.5617,-2.356,77.41,44,40,9.22,08/22/2022
98,Olafsvik,IS,3414079,64.8945,-23.7142,47.77,71,100,11.3,08/22/2022
99,Nuuk,GL,3421319,64.1835,-51.7216,45.21,76,75,2.3,08/22/2022
100,Bluff,NZ,2206939,-46.6,168.3333,42.8,86,67,7.09,08/22/2022
101,Castro,BR,3466704,-24.7911,-50.0119,52.36,85,100,6.53,08/22/2022
102,Cayenne,GF,3382160,4.9333,-52.3333,80.64,78,100,3.44,08/22/2022
103,Ust'-Kulom,RU,478050,61.6864,53.6902,78.55,33,14,4.29,08/22/2022
104,Waipawa,NZ,2206874,-41.4122,175.5153,48.94,95,100,5.88,08/22/2022
105,Poum,NC,2138555,-20.2333,164.0167,73.24,83,94,10.51,08/22/2022
106,Brønnøysund,NO,3159954,65.4625,12.1997,53.6,87,75,26.46,08/22/2022
107,Rafaela,AR,3839479,-31.2503,-61.4867,55.99,51,95,1.99,08/22/2022
108,Nome,US,5870133,64.5011,-165.4064,48.27,81,0,3.44,08/22/2022
109,Yellowknife,CA,6185377,62.456,-114.3525,53.56,100,19,5.01,08/22/2022
110,Kapaa,US,5848280,22.0752,-159.319,73.72,87,100,13.8,08/22/2022
111,Necochea,AR,3430443,-38.5473,-58.7368,46.53,77,0,10.67,08/22/2022
112,Sur,OM,286245,22.5667,59.5289,91.51,58,95,6.91,08/22/2022
113,Ningbo,CN,1799397,29.8782,121.5495,93.18,62,0,6.71,08/22/2022
114,Caravelas,BR,3466980,-17.7125,-39.2481,69.89,89,100,5.57,08/22/2022
115,Westport,US,4845585,41.1415,-73.3579,75.15,88,100,9.22,08/22/2022
116,Clyde River,CA,5924351,70.4692,-68.5914,39.43,93,100,16.11,08/22/2022
117,Katsuura,JP,2112309,35.1333,140.3,77.25,93,17,0.98,08/22/2022
118,Chui,UY,3443061,-33.6971,-53.4616,54.97,70,0,5.97,08/22/2022
119,Pitimbu,BR,3391889,-7.4706,-34.8086,77.59,80,94,17.0,08/22/2022
120,Yilan,TW,1674199,24.757,121.753,89.91,99,87,1.23,08/22/2022
121,Coahuayana Viejo,MX,4013679,18.7333,-103.6833,76.21,87,100,4.14,08/22/2022
122,Hauterive,FR,3013748,46.0901,3.4459,75.96,46,44,4.59,08/22/2022
